EmployeeID,Age,Gender,Department,JobRole,EducationLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,TrainingTimesLastYear,OverTime,MonthlyIncome,DistanceFromHome,Attrition
3998,49,Male,Marketing,Manager,3,4,4,1,2,7,9,3,Yes,4518,18,No
3999,34,Female,Sales,Analyst,4,4,1,2,1,1,7,3,No,11921,7,Yes
4000,47,Female,HR,Executive,5,3,2,1,1,19,5,2,No,5623,26,No
4001,37,Male,Marketing,Coordinator,5,4,2,4,1,2,6,5,No,3362,23,No
4002,46,Male,R&D,Manager,2,3,4,1,1,1,1,3,No,17675,19,No
4003,31,Male,R&D,Executive,5,1,2,3,1,10,0,0,No,14082,21,No
4004,50,Male,Operations,Engineer,1,1,1,4,1,3,0,0,No,19968,25,No
4005,59,Female,IT,Coordinator,5,3,4,3,3,13,2,4,No,6363,19,No
4006,41,Female,R&D,Coordinator,4,2,4,3,3,13,6,4,No,6994,19,No
4007,47,Female,Sales,Coordinator,5,4,1,4,1,9,8,2,Yes,7229,12,Yes
4008,53,Female,R&D,Executive,4,4,1,2,1,19,1,4,No,13267,18,Yes
4009,59,Female,IT,Analyst,3,3,1,3,4,3,5,2,Yes,13092,1,No
4010,45,Male,R&D,Analyst,2,3,3,3,4,6,7,1,Yes,5455,9,No
4011,52,Male,Marketing,Engineer,3,3,2,3,4,9,8,4,Yes,15618,15,No
4012,33,Male,Finance,Analyst,4,3,2,1,1,2,9,2,No,5607,22,No
4013,57,Male,R&D,Executive,2,3,4,2,4,4,2,0,No,6539,15,No
4014,31,Male,HR,Coordinator,3,3,2,3,1,3,4,4,Yes,10165,24,No
4015,27,Female,IT,Executive,5,4,4,4,3,16,4,4,Yes,16565,5,No
4016,28,Male,IT,Coordinator,5,1,4,3,2,19,7,5,No,3593,17,No
4017,52,Male,Finance,Executive,2,3,3,3,3,10,0,2,Yes,16435,3,No
4018,48,Female,HR,Analyst,3,3,4,1,1,4,2,1,No,14915,29,No
4019,29,Female,HR,Executive,1,4,3,2,1,11,5,4,Yes,19543,6,No
4020,24,Female,IT,Specialist,1,1,2,3,3,13,5,2,No,18114,29,No
4021,42,Female,Sales,Coordinator,1,3,3,3,3,12,3,1,Yes,10961,26,No
4022,22,Female,R&D,Coordinator,3,3,1,3,4,10,4,2,No,14816,24,No
4023,36,Male,HR,Engineer,3,3,3,1,4,11,9,1,Yes,8819,11,No
4024,28,Female,R&D,Specialist,3,3,4,1,2,6,2,3,No,9546,11,No
4025,36,Female,R&D,Executive,4,3,2,4,4,0,3,4,No,8807,1,No
4026,46,Male,Marketing,Analyst,1,2,4,3,4,8,9,3,No,5238,16,No
4027,24,Male,Sales,Engineer,1,3,2,1,4,18,9,2,No,18881,29,No
4028,51,Female,Sales,Specialist,1,3,4,4,2,3,0,3,Yes,17974,12,No
4029,35,Female,HR,Executive,4,4,3,4,4,3,5,1,No,18794,15,No
4030,25,Male,HR,Analyst,4,2,4,2,4,10,4,0,No,19401,14,No
4031,57,Female,IT,Executive,3,3,1,4,3,5,4,5,No,12311,5,No
4032,24,Female,Marketing,Coordinator,1,3,1,3,3,18,3,3,No,16731,23,Yes
4033,26,Female,Marketing,Specialist,1,2,2,2,4,18,8,5,Yes,8252,24,No
4034,46,Female,Finance,Specialist,5,3,2,2,3,10,8,2,No,19977,10,No
4035,52,Female,R&D,Engineer,5,2,3,2,1,17,4,4,Yes,5941,17,No
4036,32,Male,IT,Analyst,5,2,4,1,3,16,6,3,Yes,17338,15,No
4037,29,Male,R&D,Manager,4,3,1,1,2,13,2,3,No,17543,18,Yes
4038,47,Female,Sales,Executive,3,3,3,2,4,17,0,0,No,16099,25,No
4039,23,Female,Sales,Analyst,2,2,2,1,1,13,0,2,No,19324,8,No
4040,49,Male,Marketing,Manager,1,3,3,1,3,12,2,3,No,14099,25,No
4041,31,Male,IT,Analyst,5,3,2,3,1,8,2,4,Yes,6379,22,No
4042,58,Male,HR,Executive,1,4,2,4,1,18,4,1,Yes,12856,7,No
4043,42,Female,Finance,Executive,1,3,3,3,4,10,7,4,No,10163,9,No
4044,49,Male,Marketing,Engineer,1,1,4,3,1,18,5,3,No,6204,3,No
4045,59,Female,Finance,Specialist,3,3,3,3,2,16,7,5,No,19451,22,No
4046,54,Female,Sales,Specialist,1,3,2,2,1,15,6,5,No,11924,24,No
4047,32,Female,Sales,Specialist,3,1,1,1,4,17,0,3,No,15926,9,Yes
4048,22,Female,Finance,Engineer,2,3,4,2,2,14,9,0,Yes,12881,11,No
4049,54,Female,Finance,Specialist,2,4,4,3,2,13,7,2,No,6469,18,No
4050,24,Male,HR,Analyst,4,4,1,4,2,14,0,0,No,17888,7,Yes
4051,47,Male,Finance,Specialist,1,3,4,3,2,17,4,4,Yes,10242,25,No
4052,36,Male,R&D,Specialist,5,3,2,1,1,11,2,2,No,5505,8,No
4053,35,Male,Finance,Coordinator,4,2,3,4,3,9,6,0,No,3721,23,No
4054,44,Female,Operations,Executive,4,3,2,4,3,7,4,3,No,14771,21,No
4055,29,Male,Finance,Engineer,2,2,4,1,3,17,1,2,No,15277,11,No
4056,57,Male,Sales,Engineer,5,1,1,1,3,13,0,1,No,7479,11,No
4057,41,Male,Sales,Specialist,1,3,4,3,3,17,9,1,No,7078,3,No
4058,27,Male,Marketing,Coordinator,1,4,2,1,4,0,5,4,No,6232,17,No
4059,54,Male,Operations,Manager,2,1,4,4,3,15,5,0,No,18790,17,No
4060,49,Male,R&D,Executive,3,3,4,1,4,4,7,5,No,3173,22,No
4061,59,Female,Finance,Specialist,2,2,2,3,3,7,8,4,No,9255,24,No
4062,51,Female,Finance,Manager,5,3,4,2,3,19,1,1,Yes,10495,14,No
4063,38,Male,Operations,Analyst,3,4,2,2,2,1,4,3,Yes,14929,7,No
4064,30,Female,Marketing,Coordinator,5,1,1,3,1,18,4,3,No,5076,8,No
4065,49,Female,HR,Coordinator,1,3,4,4,2,2,9,3,No,4281,19,No
4066,28,Female,HR,Executive,3,1,1,2,3,7,7,5,No,9679,4,No
4067,49,Female,Marketing,Coordinator,5,3,3,3,4,2,8,3,No,4809,2,No
4068,38,Female,R&D,Engineer,1,3,4,2,3,17,4,3,Yes,17112,10,No
4069,26,Male,Finance,Manager,5,3,3,4,3,7,4,1,No,8973,5,No
4070,26,Female,Finance,Specialist,3,3,1,4,1,17,2,2,No,15704,21,No
4071,35,Female,Finance,Manager,1,4,1,4,2,4,5,5,No,11871,29,Yes
4072,27,Male,Marketing,Engineer,5,2,2,1,1,9,6,3,No,10949,3,No
4073,28,Female,Sales,Analyst,4,3,3,4,2,10,2,5,No,8401,1,No
4074,38,Female,IT,Manager,3,3,3,4,2,3,1,5,No,9810,6,No
4075,30,Male,HR,Specialist,3,4,2,4,3,9,1,5,No,10177,16,No
4076,52,Female,Marketing,Manager,3,4,3,2,2,4,8,2,No,5916,22,No
4077,43,Male,IT,Coordinator,1,1,1,3,2,11,5,3,No,3720,18,No
4078,30,Female,Operations,Analyst,3,4,1,3,1,9,1,4,Yes,13282,8,No
4079,37,Female,IT,Manager,5,3,1,4,2,11,4,0,No,15768,2,No
4080,57,Male,Sales,Analyst,4,4,1,2,1,4,6,2,Yes,19271,10,Yes
4081,55,Female,Sales,Analyst,5,3,4,3,2,10,0,0,No,16617,22,No
4082,34,Male,HR,Executive,5,2,2,2,1,0,7,1,Yes,17269,29,Yes
4083,40,Female,Finance,Executive,3,3,4,3,3,4,5,4,Yes,19127,1,No
4084,33,Female,R&D,Specialist,4,3,4,1,2,13,0,3,No,8211,5,No
4085,57,Female,IT,Specialist,4,2,3,4,1,1,7,3,No,4203,26,Yes
4086,31,Female,Marketing,Specialist,4,3,2,2,1,9,4,1,No,19263,8,No
4087,37,Male,Marketing,Analyst,4,3,4,2,3,0,6,2,Yes,5696,16,No
4088,49,Female,Operations,Analyst,2,4,4,1,3,12,9,3,No,7193,14,No
4089,40,Female,HR,Executive,4,3,2,3,1,3,3,2,Yes,5321,10,No
4090,27,Male,R&D,Coordinator,3,3,1,2,1,2,1,3,No,17322,18,No
4091,25,Male,HR,Analyst,4,4,2,4,1,11,7,2,No,18816,14,No
4092,51,Male,HR,Executive,5,3,2,1,2,11,3,0,No,17950,29,No
4093,52,Female,HR,Manager,2,3,2,4,2,15,7,2,Yes,8987,11,No
4094,48,Male,HR,Specialist,5,1,1,3,1,13,8,1,No,4815,19,Yes
4095,42,Male,Finance,Specialist,3,3,2,4,3,7,3,3,Yes,16355,27,No
4096,58,Male,Marketing,Engineer,3,2,1,1,3,12,7,4,Yes,6387,1,No
4097,30,Male,Sales,Coordinator,4,4,4,1,4,15,3,2,No,13857,25,No
4098,56,Female,Marketing,Executive,3,4,4,2,4,14,7,4,Yes,5925,26,No
4099,42,Female,Marketing,Engineer,2,2,1,4,3,13,0,2,No,9217,2,Yes
4100,38,Female,IT,Specialist,5,2,3,4,2,4,1,0,No,8506,22,No
4101,45,Male,HR,Engineer,3,3,2,3,3,5,9,4,No,18376,4,No
4102,52,Male,R&D,Manager,3,2,4,2,3,16,2,1,Yes,11694,27,No
4103,27,Male,IT,Engineer,2,3,4,3,1,8,1,4,No,10015,14,No
4104,56,Female,R&D,Manager,1,3,1,3,3,17,9,2,No,8338,21,No
4105,58,Male,R&D,Specialist,1,3,3,1,4,11,7,1,No,18961,29,No
4106,34,Male,Sales,Analyst,2,4,3,1,2,12,9,0,Yes,12144,6,No
4107,46,Female,Sales,Executive,3,3,3,2,4,16,8,4,No,3076,20,No
4108,53,Female,R&D,Engineer,2,3,1,3,2,6,8,1,No,10887,27,Yes
4109,22,Female,Finance,Coordinator,2,3,1,4,4,19,0,4,No,8937,16,Yes
4110,56,Female,Sales,Manager,1,4,2,4,1,7,8,0,No,4429,8,No
4111,40,Female,Sales,Coordinator,4,1,4,1,1,0,7,0,Yes,17031,10,Yes
4112,33,Male,Finance,Specialist,3,3,4,3,2,11,7,0,No,12617,7,No
4113,41,Male,HR,Coordinator,5,2,1,1,1,18,2,0,No,3928,19,Yes
4114,54,Male,Sales,Coordinator,2,2,4,1,2,7,7,1,No,8951,8,No
4115,50,Female,IT,Specialist,1,3,2,2,3,11,1,1,No,19749,16,No
4116,37,Female,R&D,Analyst,4,3,1,3,2,5,1,5,Yes,3364,3,No
4117,35,Female,R&D,Coordinator,3,3,4,1,4,5,3,0,No,9301,29,No
4118,28,Female,Finance,Coordinator,2,3,3,3,2,6,6,5,Yes,17846,22,No
4119,27,Male,R&D,Coordinator,1,3,1,3,3,8,3,5,No,17271,21,No
4120,42,Male,Marketing,Specialist,2,2,4,3,3,11,1,2,No,3372,26,No
4121,57,Male,Operations,Coordinator,5,4,4,4,3,5,4,1,No,12420,16,No
4122,43,Male,R&D,Specialist,3,3,2,1,1,5,7,0,No,19231,10,No
4123,40,Male,Finance,Analyst,3,2,2,3,1,8,6,1,Yes,14945,8,No
4124,46,Male,Finance,Specialist,3,1,3,2,4,6,6,4,No,15013,13,No
4125,24,Male,Finance,Coordinator,3,1,3,2,1,3,8,2,Yes,17180,24,Yes
4126,57,Male,Marketing,Manager,1,3,3,1,2,12,4,5,No,3158,4,No
4127,55,Female,IT,Coordinator,5,3,2,2,3,9,3,0,Yes,9743,7,No
4128,32,Male,Operations,Engineer,2,2,4,4,1,9,9,2,No,9081,4,No
4129,48,Male,Marketing,Engineer,1,3,1,2,1,3,8,5,No,13950,9,No
4130,23,Female,Sales,Manager,4,4,1,1,4,17,0,1,No,3880,16,Yes
4131,27,Female,HR,Engineer,3,1,2,3,1,7,5,1,No,6444,12,No
4132,23,Male,R&D,Coordinator,3,2,2,4,1,14,2,4,Yes,8127,13,No
4133,38,Male,IT,Specialist,2,3,2,1,3,8,5,0,No,18389,3,No
4134,35,Female,Sales,Coordinator,3,3,2,1,4,3,6,0,No,9520,18,No
4135,31,Female,Finance,Engineer,3,3,1,2,3,6,0,3,No,13194,3,No
4136,54,Female,Sales,Engineer,2,3,3,1,1,0,5,5,Yes,14812,3,No
4137,33,Male,Marketing,Specialist,5,1,1,3,2,16,7,4,No,11811,8,No
4138,53,Female,Sales,Engineer,1,3,2,1,3,2,4,5,No,6852,6,No
4139,45,Male,Operations,Specialist,5,4,3,1,2,18,4,2,Yes,17197,3,No
4140,35,Female,Finance,Analyst,2,4,1,3,2,17,6,0,No,8746,14,Yes
4141,26,Male,IT,Coordinator,3,3,2,1,3,14,7,3,Yes,4327,7,No
4142,26,Female,IT,Analyst,3,2,2,3,4,9,6,5,Yes,7877,25,No
4143,53,Male,Finance,Engineer,5,3,4,3,2,14,2,5,No,13275,23,No
4144,54,Female,R&D,Analyst,4,3,4,2,3,6,5,2,No,6796,27,No
4145,25,Female,IT,Engineer,1,2,2,1,1,5,8,1,No,18535,16,No
4146,51,Male,IT,Analyst,3,3,1,4,3,13,1,1,Yes,19669,4,No
4147,38,Male,R&D,Engineer,2,4,4,4,1,17,8,4,No,12627,18,No
4148,24,Male,R&D,Executive,5,3,1,3,4,17,2,1,Yes,10780,7,Yes
4149,34,Female,Marketing,Coordinator,1,3,1,1,2,5,2,1,No,12640,14,No
4150,57,Female,IT,Manager,4,3,4,2,4,12,9,3,No,14083,27,No
4151,39,Female,IT,Coordinator,3,1,2,2,4,10,1,2,Yes,17376,10,No
4152,44,Female,IT,Analyst,5,3,4,2,2,8,2,5,No,9666,17,No
4153,56,Female,R&D,Specialist,3,4,1,3,1,11,6,2,No,14525,22,No
4154,54,Male,IT,Manager,5,4,3,2,3,18,2,3,Yes,15616,12,No
4155,57,Male,Sales,Engineer,4,3,4,4,1,18,0,2,Yes,9911,8,No
4156,38,Female,Sales,Manager,2,3,3,1,2,15,3,5,No,7422,14,No
4157,55,Female,R&D,Specialist,2,1,2,1,1,2,6,2,Yes,18741,26,Yes
4158,33,Male,R&D,Specialist,1,3,4,4,1,6,5,4,No,14777,28,No
4159,26,Female,R&D,Coordinator,3,3,3,3,1,9,9,0,No,6185,25,No
4160,48,Male,HR,Engineer,3,3,2,1,2,18,2,2,No,5506,12,No
4161,34,Male,R&D,Coordinator,3,3,1,3,4,5,0,2,No,6838,7,No
4162,47,Male,Marketing,Analyst,2,3,2,2,3,8,7,2,No,16253,5,No
4163,35,Male,HR,Analyst,1,3,2,3,4,17,1,1,No,13937,23,No
4164,53,Male,R&D,Executive,2,3,1,4,3,11,4,3,Yes,14920,2,No
4165,32,Female,Finance,Coordinator,5,3,2,3,2,4,2,4,No,10848,3,No
4166,59,Male,Operations,Specialist,3,3,4,1,2,4,3,5,Yes,7120,5,No
4167,37,Female,IT,Executive,5,1,2,1,1,5,2,1,No,7749,17,No
4168,43,Male,IT,Specialist,4,2,3,2,3,17,2,3,No,12501,11,No
4169,37,Female,Sales,Executive,5,4,2,1,4,5,2,4,No,11922,28,No
4170,34,Male,Finance,Coordinator,5,2,3,4,3,0,9,5,Yes,15764,18,Yes
4171,33,Female,Operations,Analyst,5,3,2,4,3,10,7,1,Yes,18834,17,No
4172,39,Female,IT,Specialist,2,2,4,1,2,15,0,4,No,4660,24,No
4173,50,Male,IT,Coordinator,5,2,1,1,3,6,1,2,No,10193,20,No
4174,39,Male,HR,Coordinator,3,2,1,1,1,16,1,5,No,14726,14,Yes
4175,23,Male,Sales,Analyst,1,3,3,1,4,17,8,1,Yes,8601,22,No
4176,23,Female,HR,Manager,4,4,2,2,3,3,6,1,No,17081,22,No
4177,24,Male,Marketing,Analyst,3,4,2,2,3,4,9,0,Yes,16101,26,No
4178,50,Male,Marketing,Specialist,1,3,4,2,1,0,6,2,No,3366,21,No
4179,29,Female,HR,Manager,3,3,2,2,4,0,7,2,Yes,19882,17,No
4180,32,Male,Sales,Executive,5,3,3,2,4,4,1,1,No,7431,25,No
4181,33,Male,Operations,Engineer,4,3,3,1,1,18,9,1,No,5120,16,No
4182,53,Female,Sales,Specialist,3,4,4,3,2,12,0,5,No,10282,7,No
4183,25,Male,R&D,Engineer,4,4,3,2,4,4,5,3,No,9571,21,No
4184,30,Female,HR,Engineer,2,3,3,3,2,17,2,0,No,3530,3,No
4185,45,Male,R&D,Manager,2,3,4,2,1,2,1,1,No,5119,21,No
4186,37,Female,Sales,Executive,5,3,3,3,3,2,2,5,No,3893,8,No
4187,38,Female,Sales,Analyst,5,3,3,1,3,8,3,4,Yes,4742,11,No
4188,43,Male,IT,Manager,2,3,1,1,1,19,4,3,No,12793,29,No
4189,28,Female,Marketing,Executive,3,3,4,4,4,13,9,1,Yes,8653,29,No
4190,31,Male,Operations,Analyst,1,4,1,1,2,2,9,2,No,15432,9,No
4191,50,Female,HR,Analyst,1,4,2,4,1,13,3,0,Yes,6257,8,Yes
4192,57,Female,Marketing,Executive,2,3,4,3,3,16,7,3,No,17716,19,No
4193,45,Male,Finance,Analyst,1,2,2,2,3,3,5,4,Yes,11560,20,No
4194,35,Male,Sales,Specialist,3,1,3,1,4,17,6,3,Yes,12256,15,No
4195,35,Male,IT,Specialist,1,4,1,4,4,15,3,0,No,12668,24,No
4196,46,Female,Finance,Manager,1,4,3,3,2,1,6,0,No,13388,20,No
4197,43,Male,HR,Analyst,2,3,1,2,2,1,4,3,No,19158,18,Yes
4198,44,Female,R&D,Analyst,4,3,1,1,2,11,1,4,Yes,11823,25,No
4199,53,Female,HR,Executive,4,3,1,2,1,15,8,3,No,15552,8,Yes
4200,47,Male,Marketing,Specialist,3,3,1,2,2,9,1,2,Yes,12495,1,Yes
4201,48,Female,Operations,Engineer,4,2,3,1,1,1,1,3,Yes,11271,7,No
4202,33,Male,Finance,Manager,5,2,3,4,1,15,2,1,No,14667,25,No
4203,40,Female,IT,Coordinator,2,2,3,1,4,3,3,1,No,11452,26,No
4204,40,Male,Marketing,Specialist,4,3,1,4,1,9,6,4,Yes,14185,10,No
4205,55,Female,Finance,Executive,1,3,2,4,4,16,4,1,No,9508,25,No
4206,53,Female,R&D,Manager,4,4,3,2,2,3,6,1,Yes,14137,11,No
4207,50,Male,Marketing,Engineer,2,1,3,4,1,5,0,5,Yes,15738,1,No
4208,42,Female,IT,Coordinator,1,3,4,4,2,2,3,3,No,11861,9,No
4209,56,Female,R&D,Manager,1,2,2,1,1,8,1,3,No,6086,9,No
4210,26,Female,Sales,Specialist,2,4,3,4,1,4,5,0,No,18196,29,No
4211,33,Female,Marketing,Engineer,3,4,3,1,4,8,1,5,No,17307,12,No
4212,28,Female,HR,Coordinator,3,4,4,1,2,12,3,1,Yes,10289,29,No
4213,23,Male,Marketing,Executive,2,2,1,3,1,1,4,1,No,18637,6,No
4214,46,Male,Marketing,Manager,2,3,2,4,3,2,7,5,No,17141,3,No
4215,31,Female,Operations,Specialist,2,2,2,1,1,6,4,5,No,16033,15,No
4216,59,Male,Sales,Executive,1,2,4,1,2,11,1,0,No,5500,14,No
4217,27,Male,HR,Engineer,1,1,2,2,4,17,9,0,No,16493,15,No
4218,48,Female,R&D,Manager,2,3,3,4,3,8,7,4,No,16850,21,No
4219,56,Male,Operations,Analyst,1,2,2,4,2,12,7,0,No,4323,12,No
4220,31,Female,R&D,Specialist,5,3,4,2,1,10,9,0,Yes,15989,9,No
4221,30,Male,IT,Specialist,2,2,1,1,4,12,0,1,No,14757,4,No
4222,41,Female,R&D,Analyst,1,4,4,2,4,7,8,2,No,4255,15,No
4223,58,Female,Finance,Executive,3,3,2,3,2,14,7,4,No,8444,1,No
4224,56,Female,HR,Specialist,2,3,4,1,1,13,0,4,Yes,18352,29,Yes
4225,58,Female,Sales,Executive,2,4,4,4,3,16,8,5,Yes,18613,15,No
4226,29,Male,Marketing,Engineer,2,1,2,2,2,12,8,3,No,8142,18,No
4227,52,Male,Finance,Analyst,4,3,1,2,3,10,7,4,Yes,11170,3,No
4228,37,Female,IT,Executive,2,3,3,1,4,9,9,0,Yes,19267,26,No
4229,49,Male,HR,Engineer,3,1,4,2,4,16,6,4,Yes,6093,2,No
4230,27,Female,IT,Manager,1,2,1,2,4,11,5,4,No,16369,16,No
4231,53,Female,HR,Specialist,2,4,1,4,3,1,4,3,Yes,19475,6,Yes
4232,49,Male,HR,Analyst,5,2,4,2,1,0,5,3,No,4212,3,No
4233,32,Female,Operations,Manager,1,4,2,1,2,14,0,4,No,12873,24,No
4234,44,Female,Finance,Manager,3,1,2,1,2,18,0,1,Yes,7802,6,No
4235,51,Male,Sales,Manager,4,4,4,2,2,17,8,0,No,5380,2,No
4236,30,Female,Finance,Executive,3,3,2,2,3,2,5,0,No,7249,3,No
4237,49,Female,IT,Specialist,4,3,2,4,1,8,2,0,Yes,17352,23,Yes
4238,45,Male,R&D,Analyst,1,2,1,2,4,12,8,3,Yes,9303,5,No
4239,49,Male,IT,Coordinator,4,2,3,1,4,10,2,0,No,13351,22,No
4240,45,Female,HR,Coordinator,1,3,3,2,3,18,8,1,No,4112,22,No
4241,36,Male,R&D,Specialist,3,3,2,2,2,15,4,0,No,10071,6,No
4242,54,Male,Finance,Specialist,3,1,2,2,1,18,0,3,Yes,5935,22,Yes
4243,55,Male,Sales,Specialist,4,3,4,3,1,7,4,1,No,12771,16,No
4244,43,Male,R&D,Engineer,5,2,2,3,1,11,9,4,Yes,7852,29,Yes
4245,50,Male,R&D,Engineer,3,4,4,2,1,1,1,2,No,4402,2,No
4246,55,Male,Marketing,Engineer,4,4,3,2,1,4,1,1,No,6316,6,No
4247,31,Female,Operations,Engineer,2,2,1,3,2,13,0,3,No,11127,6,No
4248,51,Female,Finance,Specialist,1,3,4,4,4,15,9,5,Yes,14340,4,No
4249,32,Male,R&D,Specialist,2,3,1,2,2,18,3,1,Yes,18709,25,Yes
4250,55,Male,Finance,Coordinator,2,4,3,2,4,1,3,1,No,8870,6,No
4251,42,Male,Sales,Analyst,2,2,1,4,2,9,4,3,No,7567,2,Yes
4252,34,Female,R&D,Coordinator,4,1,3,1,4,9,3,2,Yes,8576,9,No
4253,46,Female,Sales,Coordinator,3,4,1,3,2,7,1,4,Yes,13642,20,No
4254,42,Female,IT,Analyst,2,4,1,3,3,11,4,3,No,13782,4,Yes
4255,22,Female,R&D,Analyst,4,4,2,4,1,18,7,4,No,19234,25,No
4256,26,Male,Marketing,Coordinator,3,3,3,3,1,9,5,4,No,11344,6,No
4257,43,Male,HR,Coordinator,1,1,4,1,2,3,4,5,Yes,10520,27,No
4258,28,Male,Operations,Coordinator,3,2,3,1,2,6,6,0,No,5486,8,No
4259,34,Male,Operations,Analyst,3,4,2,3,1,6,0,1,No,5865,16,No
4260,44,Male,Operations,Analyst,2,3,4,1,3,14,5,2,No,8924,2,No
4261,42,Female,Sales,Engineer,4,4,2,1,4,17,1,4,No,13402,10,No
4262,27,Male,Finance,Specialist,5,4,3,1,4,12,4,5,No,15383,18,No
4263,41,Female,Marketing,Analyst,1,3,3,2,3,0,9,4,No,16439,1,No
4264,33,Male,Operations,Executive,4,3,2,4,1,2,3,1,No,14733,4,No
4265,30,Male,IT,Analyst,2,2,4,3,2,1,6,0,No,4239,7,No
4266,49,Female,R&D,Analyst,4,3,3,2,4,7,8,0,No,9497,4,No
4267,32,Female,R&D,Specialist,5,3,2,3,4,10,8,2,No,5263,27,No
4268,53,Male,HR,Coordinator,1,2,3,4,4,13,9,0,No,4378,4,No
4269,32,Female,Sales,Engineer,3,3,2,1,1,11,0,2,No,5586,25,No
4270,45,Female,R&D,Manager,1,3,3,3,2,0,6,2,No,11139,15,No
4271,36,Female,R&D,Coordinator,5,3,3,3,1,5,6,5,No,4405,10,No
4272,56,Male,Marketing,Coordinator,1,3,1,2,1,3,4,5,No,3074,6,No
4273,38,Male,HR,Specialist,1,3,4,2,4,16,7,5,Yes,13685,5,No
4274,46,Male,HR,Engineer,2,2,3,1,2,17,9,4,Yes,15122,12,No
4275,56,Female,Finance,Executive,3,4,4,4,1,16,3,2,Yes,19206,11,No
4276,40,Female,Finance,Manager,5,3,2,1,1,9,0,3,Yes,4932,27,No
4277,52,Male,Finance,Engineer,2,3,1,2,3,4,3,5,No,10904,19,No
4278,38,Male,R&D,Coordinator,1,2,2,3,3,4,1,2,Yes,14633,15,No
4279,44,Female,HR,Engineer,1,3,4,3,2,19,2,2,Yes,19729,14,No
4280,22,Male,IT,Specialist,4,3,2,4,4,0,3,3,Yes,16380,23,No
4281,31,Male,Sales,Engineer,2,2,2,1,1,0,6,1,No,11802,3,No
4282,29,Female,Finance,Analyst,5,3,2,1,3,15,8,5,Yes,10350,10,No
4283,47,Female,IT,Engineer,5,2,4,1,2,13,3,0,No,3314,24,No
4284,55,Male,Operations,Manager,5,3,3,3,4,9,1,0,No,6942,23,No
4285,40,Female,R&D,Engineer,5,4,2,4,3,6,9,0,No,11898,10,No
4286,35,Female,Sales,Executive,1,1,4,3,4,19,9,1,No,6976,20,No
4287,29,Male,R&D,Analyst,1,3,1,4,4,19,3,5,No,17427,25,Yes
4288,22,Female,IT,Manager,2,3,1,4,3,8,7,3,Yes,19531,2,Yes
4289,46,Female,Finance,Manager,3,4,4,1,1,10,1,0,Yes,19141,14,Yes
4290,45,Male,IT,Coordinator,5,3,2,3,3,5,7,5,Yes,9017,10,No
4291,41,Female,IT,Specialist,1,4,3,3,3,10,4,0,No,14284,18,No
4292,51,Female,Marketing,Specialist,2,4,1,4,1,13,1,2,No,6602,9,Yes
4293,26,Male,R&D,Analyst,5,3,3,3,2,17,7,1,No,15205,21,No
4294,24,Female,Finance,Manager,3,2,4,4,1,0,1,0,No,12207,21,Yes
4295,53,Male,R&D,Coordinator,5,3,1,3,1,11,3,1,No,12503,5,Yes
4296,38,Male,Finance,Executive,4,2,2,3,4,0,1,0,No,5211,25,Yes
4297,26,Female,Marketing,Engineer,5,3,1,4,2,2,5,0,Yes,15749,20,No
4298,32,Male,HR,Engineer,4,3,2,3,4,5,2,0,No,11856,16,No
4299,59,Male,HR,Engineer,3,3,3,1,4,12,6,3,No,5230,22,No
4300,25,Female,Marketing,Specialist,4,2,1,1,3,4,5,2,Yes,4765,18,No
4301,40,Male,Marketing,Manager,3,3,4,2,1,8,0,3,No,9845,8,No
4302,44,Male,Marketing,Manager,2,4,1,4,1,15,8,1,Yes,12129,8,No
4303,38,Female,Marketing,Executive,4,2,2,1,4,5,6,2,Yes,12506,16,No
4304,34,Male,HR,Specialist,5,3,3,2,1,2,0,4,No,14059,12,No
4305,48,Male,HR,Executive,5,3,4,4,2,3,3,3,No,19991,27,No
4306,22,Female,Marketing,Manager,2,3,2,3,1,3,3,2,No,15409,29,No
4307,23,Female,HR,Engineer,1,3,2,4,4,18,5,0,Yes,19858,6,No
4308,39,Male,Operations,Specialist,3,3,4,3,1,8,2,5,No,13062,9,No
4309,57,Male,R&D,Specialist,1,3,4,4,4,14,1,0,Yes,8946,10,No
4310,54,Male,IT,Specialist,1,3,3,3,2,8,2,3,No,18797,26,No
4311,57,Female,Marketing,Coordinator,2,3,2,4,3,11,3,2,No,3596,10,No
4312,23,Male,HR,Coordinator,2,3,2,4,4,4,7,5,No,6968,15,No
4313,25,Female,Operations,Engineer,4,2,3,1,4,16,7,3,Yes,16652,25,No
4314,37,Male,Marketing,Coordinator,4,3,1,3,1,16,0,4,Yes,7501,19,Yes
4315,25,Male,Operations,Specialist,4,2,4,4,3,13,8,1,No,17513,25,No
4316,30,Female,R&D,Coordinator,4,3,3,1,2,6,3,3,No,13873,17,No
4317,42,Male,R&D,Coordinator,4,2,4,1,3,18,3,5,No,12137,25,No
4318,44,Female,Finance,Analyst,5,3,3,1,4,7,3,1,No,4948,10,No
4319,23,Female,Finance,Specialist,2,4,3,3,2,5,6,5,Yes,6750,4,No
4320,24,Male,HR,Coordinator,3,1,2,1,2,5,1,2,No,10278,15,No
4321,44,Male,Sales,Engineer,3,4,4,2,3,5,6,5,No,9720,10,No
