employeeid,age,gender,department,jobrole,educationlevel,performancerating,jobsatisfaction,environmentsatisfaction,worklifebalance,yearsatcompany,yearsincurrentrole,trainingtimeslastyear,overtime,monthlyincome,distancefromhome,attrition,attrition_flag,age_bin,income_bin,distance_bin,tenure_bin,low_job_satisfaction,poor_work_life,long_role_stagnation,long_commute,attrition_probability,attrition_risk_score
4523,29,Female,Marketing,Analyst,3,3,1,4,3,11,1,0,Yes,18372,4,Yes,1,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,0,0,0.5628510967069129,56.3
4524,28,Female,IT,Specialist,2,2,1,1,1,19,8,1,Yes,12371,27,No,0,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.6441838067070037,64.4
4525,51,Female,HR,Coordinator,3,3,1,2,1,3,5,4,No,3114,18,Yes,1,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",1,1,1,1,0.6207740773259912,62.1
4526,59,Male,HR,Coordinator,5,3,2,4,1,13,4,4,Yes,3137,11,No,0,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.20039981458413703,20.0
4527,56,Male,Sales,Executive,2,3,3,3,1,17,8,0,No,9529,26,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.07905813853598626,7.9
4528,23,Male,IT,Coordinator,1,3,2,1,4,3,2,0,No,15036,16,No,0,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,0,0,1,0.04544511529027915,4.5
4529,29,Female,Marketing,Analyst,1,3,3,1,1,7,4,5,No,10291,26,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.12922417101754152,12.9
4530,59,Male,Finance,Coordinator,5,2,4,2,1,17,4,1,No,3838,5,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.014855221382759999,1.5
4531,25,Male,Sales,Analyst,5,4,3,2,3,3,7,0,No,5685,18,No,0,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",0,0,1,1,0.05322074607338688,5.3
4532,58,Female,HR,Engineer,5,4,1,4,3,0,8,2,No,13976,1,Yes,1,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]",,1,0,1,0,0.3927480568271169,39.3
4533,42,Female,HR,Engineer,5,2,1,2,3,5,8,4,No,3966,17,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.44053566299859925,44.1
4534,34,Male,Sales,Specialist,4,3,1,4,1,12,4,4,No,17318,22,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",1,1,1,1,0.48308716290981946,48.3
4535,30,Female,IT,Manager,3,4,2,2,1,1,1,2,No,10693,9,No,0,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(0, 2]",1,1,0,0,0.1283966480614986,12.8
4536,50,Female,Operations,Manager,4,4,4,2,1,18,9,3,No,14793,16,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.011740375599039154,1.2
4537,45,Female,R&D,Executive,2,3,3,2,1,11,5,3,No,5317,12,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.10826950326100329,10.8
4538,37,Male,Marketing,Specialist,1,1,1,2,2,13,3,0,No,12578,14,Yes,1,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.417866302313105,41.8
4539,33,Male,Marketing,Manager,1,4,4,3,2,8,8,5,No,4874,11,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]","(5, 10]",0,1,1,0,0.006107987861172033,0.6
4540,23,Male,Operations,Coordinator,2,1,4,2,3,9,7,1,No,7500,21,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",0,0,1,1,0.010256864871288324,1.0
4541,40,Male,Operations,Analyst,1,3,2,1,4,6,5,3,No,15061,9,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.04184470573784175,4.2
4542,51,Male,Operations,Specialist,5,1,3,1,3,8,1,5,No,6362,4,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",0,0,0,0,0.07961442098153158,8.0
4543,37,Male,Marketing,Analyst,5,3,4,1,1,14,2,1,No,17431,16,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.013914458122226267,1.4
4544,45,Male,IT,Executive,5,1,3,1,1,19,1,1,No,6634,22,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.09914777726400505,9.9
4545,34,Male,Operations,Coordinator,2,2,2,4,3,14,5,3,Yes,16547,3,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.13232428616313072,13.2
4546,26,Female,R&D,Specialist,3,3,3,2,3,10,3,1,No,5873,23,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.06936789119023017,6.9
4547,44,Female,Finance,Coordinator,2,1,2,3,4,17,0,0,Yes,5033,20,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,0,0,1,0.11382349947885846,11.4
4548,59,Male,Sales,Coordinator,3,3,1,3,3,1,8,2,No,5827,22,Yes,1,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.39711287972812825,39.7
4549,52,Female,Operations,Coordinator,1,2,3,2,4,19,5,5,Yes,18305,22,No,0,"(50, 65]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.0852888148766319,8.5
4550,38,Female,Operations,Executive,1,2,2,4,1,18,1,5,No,9181,15,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,1,0,1,0.11901942894993012,11.9
4551,24,Male,Sales,Engineer,1,4,4,3,4,1,2,2,No,19770,4,No,0,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(0, 2]",0,0,0,0,0.004585971497236363,0.5
4552,47,Male,Marketing,Executive,3,3,1,2,3,19,7,0,No,9829,11,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.2873740033838219,28.7
4553,34,Male,Marketing,Coordinator,1,4,4,1,1,12,8,0,No,11632,11,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.011417777646731981,1.1
4554,59,Female,Sales,Engineer,2,3,1,4,4,3,8,4,Yes,4553,18,No,0,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.42474152694189393,42.5
4555,43,Female,Marketing,Specialist,3,4,1,2,2,2,4,2,No,14838,2,Yes,1,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(0, 2]",1,1,1,0,0.40963502429695187,41.0
4556,42,Male,Marketing,Analyst,5,4,3,3,1,14,3,0,Yes,12003,16,Yes,1,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.16725317491706412,16.7
4557,50,Male,Finance,Analyst,3,4,4,3,3,11,4,3,No,8688,14,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.006356953622329347,0.6
4558,26,Female,HR,Analyst,2,3,4,4,4,0,0,1,No,18078,6,No,0,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]",,0,0,0,0,0.006589053512273152,0.7
4559,35,Male,Finance,Executive,2,3,1,3,2,10,2,5,Yes,18290,25,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",1,1,0,1,0.5902124570227145,59.0
4560,39,Male,HR,Specialist,2,2,1,2,3,16,8,0,No,5365,14,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.33296367748783495,33.3
4561,25,Female,IT,Specialist,1,4,1,2,2,7,7,3,Yes,4709,6,Yes,1,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.4744250667741187,47.4
4562,54,Female,R&D,Engineer,5,3,2,4,1,13,3,4,No,12556,25,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.12110785820313966,12.1
4563,41,Male,Marketing,Specialist,5,4,3,2,4,4,0,2,No,5922,18,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",0,0,0,1,0.03540631267304745,3.5
4564,34,Female,Finance,Analyst,4,2,1,3,3,14,2,3,Yes,15959,8,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,0,0,0.5940352315941785,59.4
4565,57,Female,R&D,Specialist,2,3,3,4,3,1,3,1,No,18778,23,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(0, 2]",0,0,1,1,0.08958367317327315,9.0
4566,25,Male,Sales,Engineer,1,1,1,3,3,6,3,3,No,13878,3,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,0,1,0,0.4486830588007695,44.9
4567,56,Male,Finance,Specialist,3,3,2,3,2,12,0,5,No,19246,12,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.07092077253427966,7.1
4568,29,Male,IT,Specialist,1,1,1,1,4,19,5,4,No,8099,18,Yes,1,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.21695386701072109,21.7
4569,57,Male,Sales,Analyst,2,3,3,2,4,10,8,1,No,15015,24,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.031731574513315625,3.2
4570,27,Male,IT,Specialist,1,3,1,2,1,13,7,2,Yes,4497,1,Yes,1,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.5902657508216244,59.0
4571,43,Male,IT,Executive,2,4,3,3,4,9,1,1,Yes,12259,9,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",0,0,0,0,0.052527301809596444,5.3
4572,27,Male,Operations,Engineer,3,2,4,3,3,3,6,3,No,9531,26,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(2, 5]",0,0,1,1,0.009509186025552351,1.0
4573,57,Female,Sales,Engineer,3,3,3,3,2,19,2,0,No,8013,16,No,0,"(50, 65]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.05565958193145173,5.6
4574,30,Male,Marketing,Engineer,5,1,2,3,2,14,5,0,No,15431,24,No,0,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.07544562452405679,7.5
4575,37,Female,IT,Specialist,4,4,1,1,4,2,1,1,No,4791,18,Yes,1,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(0, 2]",1,0,0,1,0.2509959694130882,25.1
4576,59,Male,Operations,Executive,1,3,4,3,3,10,7,5,No,14831,13,No,0,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",0,0,1,0,0.006789203551629768,0.7
4577,54,Male,HR,Coordinator,4,2,3,3,1,19,3,1,No,7644,7,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.10828309294679492,10.8
4578,39,Male,Operations,Coordinator,1,3,4,3,4,17,5,4,No,17482,29,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.003960249985088827,0.4
4579,33,Male,Marketing,Engineer,5,3,2,4,2,16,2,3,Yes,13077,23,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,0,1,0.10901146194893328,10.9
4580,48,Male,HR,Manager,5,3,4,4,2,13,0,1,No,15190,10,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,0,0,0.008691213254509517,0.9
4581,22,Male,Operations,Coordinator,3,4,4,4,3,14,1,0,Yes,3108,28,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",0,0,0,1,0.012976737020885252,1.3
4582,36,Female,Operations,Coordinator,3,2,3,4,4,17,9,2,Yes,13820,13,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.06354205539277602,6.4
4583,48,Male,R&D,Analyst,3,1,2,2,3,2,7,5,Yes,19713,19,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.19484390114951855,19.5
4584,37,Male,R&D,Manager,1,3,1,4,3,12,5,3,Yes,19560,14,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.5591672174093629,55.9
4585,42,Male,Marketing,Manager,4,4,1,4,4,2,3,4,Yes,14559,27,Yes,1,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(0, 2]",1,0,1,1,0.44689371643756204,44.7
4586,22,Female,Sales,Engineer,4,3,1,4,3,6,8,3,No,10958,28,Yes,1,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",1,0,1,1,0.3603702995149526,36.0
4587,50,Female,IT,Manager,3,1,1,2,2,18,6,0,Yes,16661,13,Yes,1,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.5785308585990491,57.9
4588,24,Male,Marketing,Manager,5,3,1,3,2,17,0,3,No,6069,14,Yes,1,"(18, 30]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.3353518426712245,33.5
4589,33,Male,R&D,Coordinator,4,3,4,2,4,16,5,4,No,15234,14,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.003831565337194929,0.4
4590,49,Male,HR,Executive,5,3,1,1,2,8,3,4,No,5651,6,No,0,"(40, 50]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.40354182673256883,40.4
4591,58,Male,R&D,Analyst,3,4,4,1,4,13,5,2,No,14677,15,No,0,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,1,0.003909255772079585,0.4
4592,52,Male,Sales,Specialist,1,2,3,4,4,7,7,3,No,6096,26,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.033772181186029905,3.4
4593,52,Female,Finance,Engineer,2,3,3,1,2,13,8,2,Yes,15923,19,No,0,"(50, 65]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.14140650216380812,14.1
4594,54,Male,HR,Coordinator,4,4,2,4,2,4,2,1,Yes,9373,4,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",1,1,0,0,0.14163195221572117,14.2
4595,54,Female,Finance,Coordinator,3,3,1,1,3,19,1,2,No,11801,27,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,0,1,0.4183157224694981,41.8
4596,32,Female,HR,Engineer,3,1,4,2,2,13,9,1,No,12232,26,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.0103000243017821,1.0
4597,50,Male,IT,Manager,4,2,1,4,1,11,6,1,Yes,18092,8,No,0,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.6761105146156623,67.6
4598,46,Female,IT,Specialist,2,3,4,2,4,7,6,1,Yes,9769,20,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",0,0,1,1,0.008710324565364087,0.9
4599,34,Male,IT,Coordinator,1,1,3,4,4,0,2,0,No,17870,8,Yes,1,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]",,0,0,0,0,0.04846448829866847,4.8
4600,40,Female,Sales,Specialist,4,4,2,3,4,15,4,5,Yes,19357,21,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.06594278948094084,6.6
4601,57,Male,R&D,Specialist,1,4,2,4,4,7,9,4,No,7425,13,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.026502736888216985,2.7
4602,49,Male,Finance,Engineer,3,2,2,4,3,4,7,1,No,19581,16,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.08759093917114136,8.8
4603,25,Male,Finance,Engineer,4,4,1,1,4,2,2,5,No,13072,15,Yes,1,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(0, 2]",1,0,0,1,0.289613551966747,29.0
4604,24,Male,R&D,Coordinator,1,3,4,1,3,12,7,3,Yes,19176,21,No,0,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.018123751019789046,1.8
4605,59,Female,Sales,Coordinator,5,3,1,4,3,4,2,0,No,4296,16,No,0,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",1,0,0,1,0.42767163238018846,42.8
4606,58,Female,R&D,Coordinator,5,2,2,4,1,2,3,1,No,14040,26,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(0, 2]",1,1,1,1,0.18739018350072312,18.7
4607,46,Female,Operations,Executive,5,2,1,2,2,13,2,1,Yes,16343,11,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.6069240354431829,60.7
4608,56,Male,Operations,Engineer,1,3,1,4,2,5,4,4,Yes,14518,22,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,1,1,1,0.5974346809603267,59.7
4609,50,Male,IT,Engineer,5,3,1,1,3,6,7,0,Yes,11589,11,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.5135875299281486,51.4
4610,50,Female,Operations,Executive,3,3,1,4,1,5,4,0,No,18882,12,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(2, 5]",1,1,1,0,0.5705489500305077,57.1
4611,33,Male,Finance,Engineer,1,3,4,2,4,13,6,5,No,7763,18,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.0041281293912336595,0.4
4612,56,Male,IT,Manager,3,2,4,2,4,3,3,2,No,4451,4,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(2, 5]",0,0,1,0,0.005261509600683414,0.5
4613,41,Female,Finance,Manager,2,4,2,4,3,19,9,3,No,11101,26,No,0,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.05155508094429657,5.2
4614,38,Male,Sales,Executive,1,4,2,1,2,18,1,4,No,11185,8,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.050472928279147636,5.0
4615,33,Female,HR,Coordinator,5,3,3,3,3,9,5,5,No,18433,25,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.07822909953771569,7.8
4616,57,Male,R&D,Executive,5,2,4,4,1,12,4,2,No,3948,1,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.013301587648297116,1.3
4617,31,Male,Marketing,Manager,2,1,1,2,2,11,7,2,No,3226,9,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.40955352205413703,41.0
4618,39,Female,Marketing,Specialist,4,3,4,2,4,13,7,3,Yes,6337,2,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.007588164964950938,0.8
4619,51,Female,Marketing,Engineer,2,3,1,1,4,12,0,5,No,16803,13,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,0,0,0.2825360774864236,28.3
4620,29,Female,HR,Analyst,5,3,1,2,3,18,7,4,No,11353,18,Yes,1,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.34130295543009975,34.1
4621,34,Female,Finance,Analyst,5,4,3,4,1,8,2,5,No,17441,17,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",0,1,0,1,0.11167572619026253,11.2
4622,52,Female,R&D,Executive,4,3,3,3,1,15,1,5,No,16472,8,No,0,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.10721875503421535,10.7
4623,27,Male,Finance,Analyst,2,4,3,1,1,8,9,3,No,5848,15,No,0,"(18, 30]","(2999.999, 7292.0]","(8.0, 15.0]","(5, 10]",0,1,1,1,0.09291730163093122,9.3
4624,28,Female,Sales,Specialist,3,2,3,2,1,5,3,4,No,6469,12,No,0,"(18, 30]","(2999.999, 7292.0]","(8.0, 15.0]","(2, 5]",0,1,1,0,0.13341862789862083,13.3
4625,42,Male,IT,Analyst,2,3,1,1,2,13,9,1,Yes,4409,14,Yes,1,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.43922197547429415,43.9
4626,59,Male,R&D,Manager,3,4,1,4,1,6,7,5,No,3051,28,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",1,1,1,1,0.49387768639819174,49.4
4627,49,Female,Finance,Executive,5,3,4,3,3,18,4,0,No,9635,19,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.007621456107046871,0.8
4628,42,Female,Operations,Coordinator,5,4,1,4,1,2,6,1,Yes,6729,16,Yes,1,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(0, 2]",1,1,1,1,0.7226346637896455,72.3
4629,42,Male,Marketing,Analyst,2,3,4,1,4,14,7,1,No,7596,26,No,0,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.0036099580888934073,0.4
4630,45,Female,Operations,Engineer,5,4,4,3,2,11,2,1,No,12735,15,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,0,1,0.007775788751023028,0.8
4631,48,Female,Finance,Executive,4,3,3,4,2,0,6,3,No,18513,25,No,0,"(40, 50]","(15743.5, 19999.0]","(22.0, 29.0]",,0,1,1,1,0.08745977189502019,8.7
4632,48,Male,HR,Specialist,1,3,4,1,3,10,6,4,No,6594,27,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.008113259969776352,0.8
4633,34,Male,IT,Manager,3,1,2,3,4,2,8,1,No,13296,18,No,0,"(30, 40]","(11588.5, 15743.5]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.048262927895751165,4.8
4634,50,Female,Sales,Analyst,5,3,2,1,3,16,2,0,Yes,4348,5,No,0,"(40, 50]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,0,0,0,0.1195494964603627,12.0
4635,49,Male,Sales,Manager,3,2,1,4,3,12,5,1,No,18569,13,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.3889681245598219,38.9
4636,58,Male,Marketing,Specialist,2,2,2,1,3,7,6,2,Yes,12357,12,No,0,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.1487523841093057,14.9
4637,50,Male,Finance,Coordinator,4,1,3,2,1,12,8,2,No,3309,23,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.1299308308447843,13.0
4638,43,Male,Sales,Analyst,3,3,3,1,1,7,3,3,Yes,8741,26,Yes,1,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.22360047989033174,22.4
4639,57,Male,R&D,Coordinator,5,2,4,2,1,7,3,5,No,3984,7,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.018133202289668537,1.8
4640,51,Male,Sales,Coordinator,1,4,1,3,3,12,4,5,No,17198,4,Yes,1,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.33751089900920384,33.8
4641,49,Male,Operations,Executive,4,3,2,3,3,11,9,0,Yes,17286,10,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.10879767499302075,10.9
4642,44,Male,Finance,Coordinator,2,3,1,4,3,4,4,3,Yes,11718,18,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.6250837329023201,62.5
4643,54,Male,R&D,Executive,5,2,4,1,1,12,0,3,No,14733,22,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.018757191466234446,1.9
4644,25,Male,Marketing,Coordinator,4,3,3,2,1,11,7,3,No,18907,22,No,0,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.10626403132635207,10.6
4645,24,Female,Sales,Engineer,5,2,4,2,3,18,7,5,Yes,19724,29,No,0,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.01583612553053598,1.6
4646,53,Female,Marketing,Specialist,2,3,2,4,3,9,8,1,Yes,7108,16,No,0,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",1,0,1,1,0.12173545123709335,12.2
4647,25,Female,Operations,Analyst,2,2,3,1,1,14,2,4,No,16626,9,No,0,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,0,0,0.12468409804314608,12.5
4648,22,Male,IT,Manager,1,2,2,2,3,1,5,4,No,16917,29,No,0,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]","(0, 2]",1,0,1,1,0.08757624989316273,8.8
4649,33,Male,HR,Manager,4,1,1,4,1,5,9,0,Yes,10439,5,Yes,1,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",1,1,1,0,0.7558566005968549,75.6
4650,34,Male,Sales,Analyst,1,3,3,4,1,15,8,1,No,16745,16,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.08099039430449895,8.1
4651,55,Male,Marketing,Specialist,1,4,1,1,3,0,3,5,Yes,10021,25,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]",,1,0,1,1,0.6059614588403935,60.6
4652,50,Male,Operations,Specialist,1,2,3,1,3,1,8,4,No,9023,26,Yes,1,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",0,0,1,1,0.0792358129631149,7.9
4653,30,Female,IT,Coordinator,3,3,2,1,3,14,5,2,No,10396,27,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.061818577221924464,6.2
4654,52,Male,IT,Manager,2,2,2,2,4,15,3,5,Yes,9724,27,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.07685856838837321,7.7
